,policy_nr_hashed,cluster
1646,wRmjj7V,0
1647,wRmzWb8,1
1648,wRmznQd,1
1657,zPm3zvl,0
1665,JBwBxK8,3
1674,ZLWwqqV,3
1675,a6R6Azx,3
1679,eBO52vy,0
1681,kbd6WOA,3
1683,oJmWAm9,3
1684,oJmjxR8,3
1685,vL9bjEX,3
1690,0WKWEj5,0
1702,JBwBVRe,1
1703,JBwJjj6,1
1709,Olw53YB,1
1710,OlwlPyZ,0
1711,OlwxNQG,3
1715,R5W7ZoZ,0
1716,R5Wkmr8,1
1718,Vqxw5N6,1
1719,XrPokgP,0
1722,YvWvm77,0
1724,a6R60zj,1
1725,a6R6Zvx,1
1726,a6R6lKj,1
1727,a6R6rkx,1
1728,a6RGY52,1
1732,eBOWJ87,1
1738,nAEOKxE,0
1739,nAEOogN,1
1740,nAEVkyY,0
1742,vL9L7v3,1
1743,vL9d0XG,1
1744,vL9v6YV,1
1746,vL9zQ5O,1
1747,xamkPJ2,1
1749,ypgaxVx,0
1750,ypgpRkq,1
1752,zPmyoZO,1
1756,6rYAnEq,1
1759,8rZ3nbx,1
1760,92Z263L,1
1761,AoZK9pj,0
1762,AoZxAvB,1
1763,ByZJq5l,0
1764,E7w7QE5,1
1767,LAwAZNp,1
1774,eBOX6P3,1
1779,qvm7WlL,1
1781,wRm7aVA,1
1784,xamRw2P,1
1789,0WK9VN5,0
1795,6rYA893,1
1797,70NvxPL,2
1799,8rZ3zVo,1
1805,ByZJYx0,1
1806,ByZlkPK,1
1808,E7wzv27,1
1814,K7wQJ0j,1
1815,LAwLzLQ,1
1823,WP0ARnL,1
1824,WP0YwlL,1
1837,eBO38y7,1
1838,gjkGggp,1
1855,pjmkZvL,0
1857,rLmKj0j,1
1858,vL9LG7P,0
1859,vL9LPr6,1
1867,wRmjvpx,2
1885,K7wvlZZ,1
1887,P8wgmRy,0
1889,WP0PQ0y,0
1890,XrPGKYB,0
1891,YvWGVxj,0
1892,a6RGYo5,1
1896,vL95oLo,1
1897,vL9vwOG,0
1902,2LJp8WJ,0
1904,6rYRa5Q,2
1908,AoZKO7N,1
1909,AoZoG3x,1
1914,K7wQaEZ,1
1916,K7wl2Yx,1
1920,NWEWgmY,0
1927,dBy9aGe,0
1928,eBOVALA,0
1929,eBOXj97,1
1936,oJm5BVb,0
1951,0WKOeGB,0
1952,0WKWRJ6,3
1953,0WKomg6,3
1957,2LJ0lax,3
1958,2LJApgm,3
1962,3Rdb7Ee,3
1970,6rYANZ8,3
1971,70Na0xP,0
1973,8rZeRbm,0
1976,92Z2oOL,0
1977,92Zdvjr,0
1982,AoZRE5w,3
1983,AoZoVzw,3
1989,ByZAyK3,3
1990,ByZQnXd,0
1991,ByZlpod,3
1994,E7w5wA5,0
1995,E7wkJWG,3
2015,Olw5byE,3
2018,P8wOxoB,0
2026,R5Wnmon,3
2030,WP0o6dY,3
2033,XrP6EY8,3
2043,ZLWwd99,3
2045,a6RvQ59,3
2047,beaK67Y,3
2048,beaKK2G,3
2057,eBOX0Py,0
2061,gjkGQ70,0
2062,joJKrq7,0
2076,lrzJ3Q2,3
2077,lrzJBz0,0
2079,mWmbnYE,3
2089,oJmlwJy,3
2104,vL9drQP,3
2108,wRmLboE,0
2113,ypgapZ2,3
2125,0WKoqLO,0
2127,3Rd9Z8e,0
2128,3RdRL2L,1
2135,5rZLZak,0
2137,6rYRO53,0
2144,70Na3xq,0
2155,E7wkJp7,0
